date,sp500,wti,eurusd
2019-10-23,0.284309,3.069899,-0.179727
2019-10-24,0.19186,0.374967,-0.18005
2019-10-25,0.406443,0.728051,-0.153298
2019-10-28,0.556586,-1.641136,0.117249
2019-10-29,-0.083274,-0.468723,0.207105
2019-10-30,0.324805,-0.889379,0.053957
2019-10-31,-0.302745,-1.524784,0.287279
2019-11-01,0.961598,3.671137,0.125426
2019-11-04,0.369721,0.516153,-0.224085
2019-11-05,-0.118643,1.252552,-0.666249
2019-11-06,0.070228,-1.572609,0.054186
2019-11-07,0.272641,1.344439,-0.280277
2019-11-08,0.255736,0.193101,-0.235678
2019-11-12,-0.040098,-0.615711,-0.018152
2019-11-13,0.07113,0.369882,-0.118069
2019-11-14,0.083674,-0.546498,0.108992
2019-11-15,0.7666,1.700155,0.271961
2019-11-18,0.0503,-1.259198,0.298305
2019-11-19,-0.059274,-3.382873,-0.036111
2019-11-20,-0.376327,3.189091,-0.108411
2019-11-21,-0.158403,2.868016,0.03615
2019-11-22,0.217257,-1.172023,-0.343954
2019-11-25,0.74793,0.190526,-0.181505
2019-11-26,0.219312,0.792834,0.027247
2019-11-27,0.416578,-0.223425,-0.090851
2019-11-29,-0.401932,0.0,0.154398
2019-12-02,-0.866853,-3.769401,0.506926
2019-12-03,-0.666017,0.321085,0.126331
2019-12-04,0.630364,4.031608,-0.117302
2019-12-05,0.149915,-0.068446,0.25248
2019-12-06,0.909425,1.326324,-0.4694
2019-12-09,-0.316785,-0.35536,0.13563
2019-12-10,-0.109755,0.389138,0.207609
2019-12-11,0.290398,-0.81384,0.018033
2019-12-12,0.853861,0.746272,0.207142
2019-12-13,0.007259,1.559257,0.116891
2019-12-16,0.712239,0.166223,0.098801
2019-12-17,0.033521,1.106626,0.080765
2019-12-18,-0.043235,0.082095,-0.314452
2019-12-19,0.444931,0.605418,0.134886
2019-12-20,0.493264,-1.429417,-0.468385
2019-12-23,0.086576,0.132297,0.135336
2019-12-24,-0.019543,1.084823,-0.063134
2019-12-26,0.511505,0.895115,0.162265
2019-12-27,0.003395,0.064788,0.646438
2019-12-30,-0.57976,-0.162048,0.384083
2019-12-31,0.294169,-0.846911,0.089111
2020-01-02,0.834387,0.049056,-0.544814
2020-01-03,-0.708491,2.947785,0.062671
2020-01-06,0.352717,0.427656,0.125224
2020-01-07,-0.280714,-0.904984,-0.43897
2020-01-08,0.489044,-4.98673,-0.188722
2020-01-09,0.663324,-0.150994,-0.098997
2020-01-10,-0.285931,-0.910784,0.116985
2020-01-13,0.695206,-1.450661,0.170733
2020-01-14,-0.151569,0.291821,-0.071852
2020-01-15,0.186841,-0.826166,0.269179
2020-01-16,0.833174,1.134228,-0.260195
2020-01-17,0.385471,0.051251,-0.341973
2020-01-21,-0.265548,-0.5137,0.02704
2020-01-22,0.028905,-2.591224,-0.099184
2020-01-23,0.114031,-2.226867,-0.397723
2020-01-24,-0.908327,-2.591386,-0.13595
2020-01-27,-1.585573,-1.866074,-0.063506
2020-01-28,1.000335,0.451044,-0.099877
2020-01-29,-0.086722,-0.075033,-0.036344
2020-01-30,0.312945,-2.085779,0.25413
2020-01-31,-1.786448,-1.175691,0.452203
2020-02-03,0.722846,-2.991171,-0.180636
2020-02-04,1.486927,-0.943309,-0.171907
2020-02-05,1.118782,2.548416,-0.335616
2020-02-06,0.332013,0.137511,-0.245622
2020-02-07,-0.541547,-1.184848,-0.26449
2020-02-10,0.729965,-1.501079,-0.310985
2020-02-11,0.168707,0.82338,0.00916
2020-02-12,0.644187,2.23484,-0.220083
2020-02-13,-0.163177,0.54613,-0.413965
2020-02-14,0.184184,1.198777,-0.082999
2020-02-18,-0.292425,0.134447,-0.221668
2020-02-19,0.469479,2.295898,-0.194364
2020-02-20,-0.382284,0.859176,0.027789
2020-02-21,-1.057382,-0.765429,0.535749
2020-02-24,-3.408805,-3.820174,0.018423
2020-02-25,-3.074793,-3.124636,0.101266
2020-02-26,-0.378568,-2.255047,0.174673
2020-02-27,-4.516817,-3.130473,0.823276
2020-02-28,-0.827245,-5.088054,0.2184
2020-03-02,4.501087,4.25782,1.470814
2020-03-03,-2.851053,1.042008,0.098482
2020-03-04,4.133635,-1.042008,-0.403498
2020-03-05,-3.451073,-1.899064,0.644817
2020-03-06,-1.7201,-10.948423,1.03904
2020-03-09,-7.901039,-28.138208,0.888347
